,Node 1,,,,Node 2,,,,Node 3,,,,Node 4,,,,Node 5,,,,Node 6,,,,Node 7,,,,Node 8,,,,Node 9,,,
Time (s),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts)
1660.98108,23.71,49.92,100381,0.0032,23.2,53.13,100391,0,22.95,50.82,100377,0,23.41,47.04,100363,0,24.19,51.32,100287,0,23.46,61.75,100334,0,23.72,50.52,100351,0.0143,22.9,51.34,100318,0,22.9,56.12,100278,0
1671.09704,23.71,49.72,100383,0.0032,23.2,53.13,100391,0,22.95,50.85,100377,0,23.42,47.26,100362,0,24.19,51.4,100287,0,23.45,61.8,100331,0.0071,23.71,50.54,100351,0.0143,22.89,51.53,100322,0,22.9,56.15,100280,0
1681.21194,23.7,49.84,100384,0.0032,23.2,53.18,100390,0,22.95,50.84,100379,0,23.41,47.05,100357,0,24.18,51.45,100284,0,23.45,61.76,100332,0.0071,23.72,50.56,100349,0.0143,22.9,51.38,100320,0,22.89,56.11,100278,0.0032
1691.32804,23.7,49.81,100382,0.0032,23.2,53.21,100391,0,22.95,50.74,100378,0,23.41,47.11,100360,0,24.18,51.35,100283,0,23.45,61.8,100334,0,23.71,50.58,100347,0.0143,22.89,51.51,100319,0,22.89,56.16,100275,0.0128
1701.44414,23.7,49.84,100381,0.0032,23.19,53.18,100388,0,22.94,50.8,100373,0,23.41,47.01,100361,0,24.17,51.28,100283,0,23.45,61.76,100331,0,23.71,50.45,100347,0.0143,22.89,51.38,100320,0,22.89,56.14,100276,0.0289
1711.56001,23.69,50,100383,0,23.2,53.16,100390,0,22.94,50.69,100377,0,23.41,47.27,100363,0,24.16,51.45,100283,0,23.45,61.82,100332,0.0071,23.72,50.46,100351,0.0036,22.89,51.14,100320,0,22.89,56.15,100275,0.0417
1721.67491,23.69,49.94,100383,0,23.2,53.18,100389,0,22.94,50.81,100377,0,23.4,47.15,100359,0,24.15,51.45,100280,0,23.46,61.79,100333,0.0071,23.72,50.54,100351,0.0036,22.89,51.41,100321,0,22.9,56.14,100281,0.0514
1731.79092,23.69,49.77,100383,0.0032,23.19,53.2,100393,0,22.94,50.77,100377,0,23.4,47.1,100362,0,24.15,51.45,100280,0,23.45,61.82,100337,0,23.72,50.56,100346,0.0143,22.89,51.37,100320,0.0064,22.89,56.13,100277,0.0578
1772.39608,23.68,49.8,100384,0.0032,23.2,53.18,100392,0,22.94,50.82,100376,0,23.4,47.04,100360,0,24.14,51.33,100284,0,23.45,61.82,100334,0,23.71,50.54,100349,0.0036,22.89,51.23,100318,0.0193,22.89,56.15,100278,0.0674
1782.51194,23.67,49.73,100377,0,23.2,53.11,100394,0,22.94,50.74,100382,0,23.4,47.08,100362,0,24.14,51.43,100288,0,23.45,61.83,100335,0.0106,23.71,50.5,100348,0.0072,22.89,51.46,100319,0.0289,22.89,56.18,100277,0.0706
1792.62781,23.67,49.76,100379,0.0032,23.2,53.09,100389,0,22.94,50.77,100378,0,23.4,47.15,100361,0,24.14,51.43,100288,0,23.45,61.82,100333,0.0106,23.72,50.54,100349,0.0072,22.89,51.47,100320,0.0353,22.89,56.17,100276,0.0738
1802.74276,23.66,49.76,100376,0.0032,23.19,53.3,100388,0,22.94,50.72,100376,0,23.4,46.95,100360,0,24.12,51.42,100280,0,23.45,61.85,100335,0.0106,23.71,50.43,100346,0.0108,22.89,51.21,100319,0.0385,22.89,56.12,100272,0.077
1812.85877,23.66,49.83,100377,0.0032,23.2,53.2,100390,0,22.94,50.79,100376,0,23.39,46.93,100356,0,24.11,51.47,100283,0,23.45,61.83,100329,0.0071,23.72,50.52,100346,0.0215,22.89,51.3,100313,0.0449,22.89,56.19,100274,0.0802
1822.97601,23.66,49.82,100379,0.0032,23.19,53.21,100387,0,22.94,50.75,100376,0,23.39,47.44,100360,0,24.11,51.34,100282,0,23.45,61.81,100331,0.0071,23.71,50.44,100348,0.0108,22.89,50.9,100318,0.0481,22.89,56.11,100276,0.0802
1833.09192,23.66,49.52,100384,0.0032,23.2,53.14,100389,0,22.94,50.77,100374,0,23.39,47.04,100355,0,24.1,51.32,100284,0,23.45,61.78,100328,0.0071,23.72,50.53,100342,0.0108,22.89,50.97,100317,0.0514,22.89,56.16,100273,0.0802
1843.20688,23.65,49.84,100378,0.0032,23.19,53.2,100391,0,22.94,50.85,100377,0,23.38,47.07,100358,0,24.09,51.37,100284,0,23.45,61.86,100333,0,23.72,50.47,100350,0.0143,22.89,51.31,100319,0.0546,22.89,56.09,100276,0.0802
1853.32298,23.65,49.96,100380,0.0032,23.19,53.27,100391,0,22.94,50.81,100378,0,23.38,47.11,100359,0,24.08,51.39,100284,0,23.45,61.88,100331,0.0106,23.71,50.55,100351,0.0143,22.89,51.74,100323,0.0578,22.89,56.15,100278,0.0802
